No_,Description,Base Unit of Measure,Inventory Posting Group,Gen_ Prod_ Posting Group,Global Dimension 1 Code,Global Dimension 2 Code,Item Category Code
10000061,Glass Cake Chocolate,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000062,Butter Biscuit,PCS,FINISHGOOD,FINISHGOOD,,,19100
10000063,Pineapple Mousse,PCS,FINISHGOOD,FINISHGOOD,,,19108
10000064,Chocolate Mousse,PCS,FINISHGOOD,FINISHGOOD,,,19108
10000065,Rum Ball,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000066,Round Cake,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000067,Special Plum Cake,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000068,Special Round Cake Packet,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000069,Bun,PCS,FINISHGOOD,FINISHGOOD,,,19101
10000070,Sheermal,PCS,FINISHGOOD,FINISHGOOD,,,19101
10000071,Bread,PCS,FINISHGOOD,FINISHGOOD,,,19101
10000072,Chocolate Doughnut,PCS,FINISHGOOD,FINISHGOOD,,,19106
10000073,Pineapple Cake 500 Gm,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000074,Special Birth Day Cake (Pineapple),PCS,FINISHGOOD,FINISHGOOD,,,19104
10000075,Chocolate Browne,PCS,FINISHGOOD,FINISHGOOD,,,19102
10000076,Plum Cake 500 Gm,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000077,Plum Cake 1 Kg,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000078,Black Forest Cake 500 Gms,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000079,Black Forest Cake 1 Kg,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000080,Black Forest Cake 2 Kg,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000081,Butter Scotch Cake 500 Gms,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000082,Butter Scotch Cake 1 Kg,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000083,Butter Scotch Cake 2 Kg,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000084,Special Birth Day Cake 1.5 Kg,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000085,Fruit Biscuits,PCS,FINISHGOOD,FINISHGOOD,,,19100
10000087,Kaju Biscuit,PCS,FINISHGOOD,FINISHGOOD,,,19100
10000088,Badam Biscuits,PCS,FINISHGOOD,FINISHGOOD,,,19100
10000089,Glass Cake Pineapple,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000090,Pista Biscuit,PCS,FINISHGOOD,FINISHGOOD,,,19100
10000091,Special Biscuit Box 500Gm,PCS,FINISHGOOD,FINISHGOOD,,,19100
10000092,Osmania Small Biscuit ,PCS,FINISHGOOD,FINISHGOOD,,,19100
10000093,Small Plum Cake Box ,PORTION,FINISHGOOD,FINISHGOOD,,,19104
10000098,Apple Juice,PORTION,FINISHGOOD,FINISHGOOD,,,18115
10000099,Apple Milk Shake,PORTION,FINISHGOOD,FINISHGOOD,,,18115
10000100,Butter Scotch Milk Shake,PORTION,FINISHGOOD,FINISHGOOD,,,18115
10000101,Butter Scotch Milk Shake Pqs,PORTION,FINISHGOOD,FINISHGOOD,,,16106
10000102,Chocolate Milk Shake,PORTION,FINISHGOOD,FINISHGOOD,,,18115
10000103,Coffee,PORTION,FINISHGOOD,FINISHGOOD,,,18108
10000104,Osmania Small Biscuit (2Pcs),PORTION,FINISHGOOD,FINISHGOOD,,,19100
10000105,Fresh Lemon Water,PORTION,FINISHGOOD,FINISHGOOD,,,18109
10000107,Fruit Cocktail Juice,PORTION,FINISHGOOD,FINISHGOOD,,,18115
10000108,Fruit Punch,PORTION,FINISHGOOD,FINISHGOOD,,,18115
10000109,Grape Juice,PORTION,FINISHGOOD,FINISHGOOD,,,18115
10000110,Grape Juice - Pqs,PORTION,FINISHGOOD,FINISHGOOD,,,18115
10000111,Lassi,PORTION,FINISHGOOD,FINISHGOOD,,,18109
10000113,Mango Juice,PORTION,FINISHGOOD,FINISHGOOD,,,18115
10000114,Mango Milk Shake,PORTION,FINISHGOOD,FINISHGOOD,,,18115
10000115,Orange Juice,PORTION,FINISHGOOD,FINISHGOOD,,,18115
10000116,Pineapple Juice ,PORTION,FINISHGOOD,FINISHGOOD,,,18115
10000117,Pineapple Juice - Pqs,PORTION,FINISHGOOD,FINISHGOOD,,,18115
10000118,Pista Milk Shake,PORTION,FINISHGOOD,FINISHGOOD,,,18115
10000119,Royal Kulfi Falooda,PORTION,FINISHGOOD,FINISHGOOD,,,18109
10000120,Sapota Juice,PORTION,FINISHGOOD,FINISHGOOD,,,18115
10000121,Shahi Kulfi Falooda,PORTION,FINISHGOOD,FINISHGOOD,,,18109
10000122,Strawberry Milk Shake,PORTION,FINISHGOOD,FINISHGOOD,,,18115
10000123,Strawberry Milk Shake Pqs,PORTION,FINISHGOOD,FINISHGOOD,,,16106
10000125,Vanilla Milk Shake ,PORTION,FINISHGOOD,FINISHGOOD,,,18115
10000126,Vanilla Milk Shake Pqs,PORTION,FINISHGOOD,FINISHGOOD,,,18115
10000127,Vanilla I/C 4 Ltr,PORTION,RAW MAT,RAW MAT,,,16106
10000128,Mango Ice Cream 4 Ltr,PORTION,RAW MAT,RAW MAT,,,16106
10000129,Tutty Fruity Ice Cream 4 Ltr,PORTION,RAW MAT,RAW MAT,,,16106
10000130,Kaju Kishmish Ice Cream 4 Ltr,PORTION,RAW MAT,RAW MAT,,,16106
10000131,Kasatta Ice Cream,PORTION,RAW MAT,RAW MAT,,,16106
10000132,Pista Ice Cream 4 Ltr,PORTION,RAW MAT,RAW MAT,,,16106
10000133,Chocolate I/C 4 Ltr,PORTION,RAW MAT,RAW MAT,,,16106
10000134,Strawberry I/C 4 Ltr,PORTION,RAW MAT,RAW MAT,,,16106
10000135,Black Forest Ice Cream,PORTION,RAW MAT,RAW MAT,,,16106
10000136,Butter Scotch I/C 4 Ltr,PORTION,RAW MAT,RAW MAT,,,16106
10000137,Butter Scotch Ice Cream,LT,RESALE,TRADED,,,16106
10000138,Pista Nuts 1000 Ml,LT,RESALE,TRADED,,,16106
10000139,Vanilla 1000 Ml,LT,RESALE,TRADED,,,16106
10000140,Strawbery 1000 Ml,LT,RESALE,TRADED,,,16106
10000141,Chocolate 1000 Ml,PORTION,RESALE,TRADED,,,16106
10000142,Mango 1000 Ml,LT,RESALE,TRADED,,,16106
10000143,Sweet Lime Juice,PORTION,FINISHGOOD,FINISHGOOD,,,18115
10000144,Papad Fried,PORTION,FINISHGOOD,FINISHGOOD,,,20103
10000145,Water Melon Juice,PORTION,FINISHGOOD,FINISHGOOD,,,18115
10000146,Plain Fruit Biscuit Box 500GM,PCS,FINISHGOOD,FINISHGOOD,,,19100
10000147,Osmania Big Biscuit,PCS,FINISHGOOD,FINISHGOOD,,,19100
10000148,Special Pastry Orange,PCS,FINISHGOOD,FINISHGOOD,,,19108
10000151,Pistachio Blueberry Cake-500 Gm,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000152,Red Velvet Cake-500 Gm,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000153,White Forest Cake-500 Gm,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000154,Pistachio Blueberry Cake -1Kg,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000155,Red Velvet Cake-1 Kg,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000156,White Forest Cake-1 Kg,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000157,Pistachio Saffron Pastry,PCS,FINISHGOOD,FINISHGOOD,,,19108
10000158,Red Velvet Pastry,PCS,FINISHGOOD,FINISHGOOD,,,19108
10000159,Choconutella Pastry,PCS,FINISHGOOD,FINISHGOOD,,,19108
10000160,Pistachio Blueberry Pastry,PCS,FINISHGOOD,FINISHGOOD,,,19108
10000161,Dark Chocolate Choco Muffin,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000162,Pistachio Muffin,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000163,Mava Muffin,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000164,Berry Vanilla Muffin,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000165,Nutella Doughnut 100 Gm,PCS,FINISHGOOD,FINISHGOOD,,,19106
10000166,Red Velvet Doughnut 100 Gm,PCS,FINISHGOOD,FINISHGOOD,,,19106
10000167,Blue Berry Doughnut 100 Gm,PCS,FINISHGOOD,FINISHGOOD,,,19106
10000168,Classic Doughnut 100 Gm,PCS,FINISHGOOD,FINISHGOOD,,,19106
10000169,Falooda,PORTION,FINISHGOOD,FINISHGOOD,,,18109
10000170,Pistachio Saffron Cake-1 Kg,PCS,FINISHGOOD,FINISHGOOD,,,18109
10000171,Pistachio Saffron Cake-500 GM,PCS,FINISHGOOD,FINISHGOOD,,,18109
10000172,Caramel Doughnut 100 Gm ,PCS,FINISHGOOD,FINISHGOOD,,,19106
10000173,Vanilla Softy,PORTION,RAW MAT,RAW MAT,,,16106
10000174,Chocolate Softy,PORTION,RAW MAT,RAW MAT,,,16106
10000175,Vanilla – Mocha Mix,PORTION,RAW MAT,RAW MAT,,,16106
10000176,Bun Maska,PCS,FINISHGOOD,FINISHGOOD,,,19103
10000177,Egg Puff (Pack of 2),PCS,FINISHGOOD,FINISHGOOD,,,19109
10000178,Mutton Puff (Pack of 2),PCS,FINISHGOOD,FINISHGOOD,,,19109
10000179,Veg Puff (Pack of 2),PCS,FINISHGOOD,FINISHGOOD,,,19109
10000180,Paneer Puff (Pack of 2),PCS,FINISHGOOD,FINISHGOOD,,,19109
10000181,Chicken Puff (Pack of 2),PCS,FINISHGOOD,FINISHGOOD,,,19109
10000182,Veg Samosa (Pack of 8),PCS,FINISHGOOD,FINISHGOOD,,,19111
10000183,Mutton Samosa (Pack of 8),PCS,FINISHGOOD,FINISHGOOD,,,19111
10000184,Bun Maska(Pack Of 2),PCS,FINISHGOOD,FINISHGOOD,,,19103
10000185,Veg Samosa (Pack of 4),PCS,FINISHGOOD,FINISHGOOD,,,19111
10000186,Mutton Samosa(Pack of 4),PCS,FINISHGOOD,FINISHGOOD,,,19111
10000187,Plum Cake Cup,PCS,FINISHGOOD,FINISHGOOD,,,19104
10000188,Tea with Veg Samosa (2Pcs),PCS,FINISHGOOD,FINISHGOOD,,,19111
10000189,Tea With Osmania Biscuit (2Pcs),PCS,FINISHGOOD,FINISHGOOD,,,19100
10000190,Chicken Roll,PCS,FINISHGOOD,FINISHGOOD,,,19110
10000191,Paneer Roll,PCS,FINISHGOOD,FINISHGOOD,,,19110
10000192,Aloo Puff,PCS,FINISHGOOD,FINISHGOOD,,,19109
10000193,Osmania Big Biscuit (Pack of 5),PCS,FINISHGOOD,FINISHGOOD,,,19100
10000194,Vegetable Samosa (Pack of 5),PCS,FINISHGOOD,FINISHGOOD,,,19111
10000195,Khara Biscuits (Pack of 8),PCS,FINISHGOOD,FINISHGOOD,,,19100
10000196,Vegetables Puff (Pack of 2),PCS,FINISHGOOD,FINISHGOOD,,,19109
10000197,Tie Biscuit (Pack of 3),PCS,FINISHGOOD,FINISHGOOD,,,19100
10000198,Kaju Biscuit (Pack of 4),PCS,FINISHGOOD,FINISHGOOD,,,19100
10000199,Plum Cake Muffin (Pack of 2),PCS,FINISHGOOD,FINISHGOOD,,,19104
10000200,Sandy Cake Packet (Pack of 2),PCS,FINISHGOOD,FINISHGOOD,,,19104
10000201,Bun (Pack of 2),PCS,FINISHGOOD,FINISHGOOD,,,19101
10000202,Fine Biscuit (Pack of 4),PCS,FINISHGOOD,FINISHGOOD,,,19100
10000203,Jam Roll (Pack of 2),PCS,FINISHGOOD,FINISHGOOD,,,19110
10000204,Butter Biscuit (Pack of 4),PCS,FINISHGOOD,FINISHGOOD,,,19100
10000205,Sheermal (Pack of 2),PCS,FINISHGOOD,FINISHGOOD,,,19101
10000206,Roat Biscuit (Pack of 3),PCS,FINISHGOOD,FINISHGOOD,,,19100
10000207,Cream Roll (Pack of 2),PCS,FINISHGOOD,FINISHGOOD,,,19110
10000208,Chicken Roll (Pack of 2),PCS,FINISHGOOD,FINISHGOOD,,,19110
10000209,Paneer Roll (Pack of 2),PCS,FINISHGOOD,FINISHGOOD,,,19110
10000210,ALOO Puff (Pack of 2),PCS,FINISHGOOD,FINISHGOOD,,,19109
10000211,Tea Kettle 250 ml + 2 Samosa,PCS,FINISHGOOD,FINISHGOOD,,,19111
10000212,Tea Kettle 250 ml + Bun,PCS,FINISHGOOD,FINISHGOOD,,,19101
10000213,Tea Kettle 250 ml + Bun Maska,PCS,FINISHGOOD,FINISHGOOD,,,19103
10000214,Tea Kettle 250 ml + 2 Biscuit,PCS,FINISHGOOD,FINISHGOOD,,,19100
10000215,Bun Maska (Del),PCS,FINISHGOOD,FINISHGOOD,,,19103
10000216,Chicken Puff (Del),PCS,FINISHGOOD,FINISHGOOD,,,19109
10000217,Dilkush (Del),PCS,FINISHGOOD,FINISHGOOD,,,19105
10000218,Doughnut (Del),PCS,FINISHGOOD,FINISHGOOD,,,19106
10000219,Chocolate Doughnut (Del),PCS,FINISHGOOD,FINISHGOOD,,,19106
1AP00191,Plain Lassi,PORTION,FINISHGOOD,FINISHGOOD,,,18109
1AP00192,Extra (Double) Masala ,PORTION,FINISHGOOD,FINISHGOOD,,,11103
1AP00193,Extra Biryani Rice,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1AP00196,Masala Thumbs Up,PORTION,FINISHGOOD,FINISHGOOD,,,18113
1AP00197,Fresh Lime Soda,PORTION,FINISHGOOD,FINISHGOOD,,,18113
1AP00199,Fresh Lime Soda,PORTION,FINISHGOOD,FINISHGOOD,,,18113
1AP00200,Salted Lassi,PORTION,FINISHGOOD,FINISHGOOD,,,18109
1AP00201,Sweet Lassi,PORTION,FINISHGOOD,FINISHGOOD,,,18109
1APCT001,Nizami Chk Biryani with Chk Tikka Kebab-TA,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1APCT002,Nizami Chk Biryani with Chk Garlic Kebab-TA,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1APCT003,Nizami Chk Biryani with Chk Reshmi Kebab-TA,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1APCT004,Supreme Chkn Bir+Tandoori Chkn Full @ 50% Off,PORTION,FINISHGOOD,FINISHGOOD,,,10100
1APD0021,Biryani Raita,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1APD0027,Mirchi Ka Salan,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1APD0092,Boiled Egg,PCS,FINISHGOOD,FINISHGOOD,,,11102
1APD0122,Chettinadu Murgh Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1APD0123,Chicken Garlic Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1APD0125,Chicken Kalmi Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1APD0126,Chicken Kalmi Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1APD0127,Chicken Kebab Platter,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1APD0128,Chicken Reshmi Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1APD0132,Chicken Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1APD0133,Chicken Tikka Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1APD0137,Tandoori Chicken ( Full),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1APD0138,Tandoori Chicken ( Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1APD0145,Paneer Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12103
1APD0165,Double Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1APD0168,Gulab Jamun,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1APD0170,Khubani Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1APD0178,Coca Cola Fountain ,PCS,FINISHGOOD,FINISHGOOD,,,18113
1APD0179,Sprite Fountain ,PCS,FINISHGOOD,FINISHGOOD,,,18113
1APD0180,Thums Up Fountain ,PCS,FINISHGOOD,FINISHGOOD,,,18113
1APD0195,Royal Mutton Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1APD0196,Royal Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1APD0197,Nizami Mutton Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1APD0198,Nizami Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1APD0199,Veg  Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11103
1APD0200,Supreme Chicken Biryani Pack,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1APD0201,Supreme Mutton Biryani Pack,PORTION,FINISHGOOD,FINISHGOOD,,,11101
1APD0202,Egg Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11102
1APD0214,Mutton Haleem,PORTION,FINISHGOOD,FINISHGOOD,,,31100
1APD0216,Fresh Limes/ Nimbu,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1APD0217,Fresh Onion,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1APD0228,Kheema Masala,PORTION,FINISHGOOD,FINISHGOOD,,,13101
1APD0239,Chicken Curry,PORTION,FINISHGOOD,FINISHGOOD,,,13100
1APD0240,Chicken Masala,PORTION,FINISHGOOD,FINISHGOOD,,,13100
1APD0241,Chicken Kadhai,PORTION,FINISHGOOD,FINISHGOOD,,,13100
1APD0243,Paneer Butter Masala,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1APD0244,Dal Makhani,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1APD0246,Malabar Paratha,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1APD0247,Lachha Paratha,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1APD0248,Paneer Tikka Kebab - (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12103
1APD0252,Chicken Mustard Garlic Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1APD0262,Nizami Chicken Biryani (Boneless),PORTION,FINISHGOOD,FINISHGOOD,,,11100
1APD0263,Royal Chicken Biryani (Boneless),PORTION,FINISHGOOD,FINISHGOOD,,,11100
1APD0266,Chicken Garlic kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1APD0269,Chettinadu kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1APD0270,Chicken Reshmi kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1APD0272,Nizami Fiery Chicken Biryani (Boneless),PORTION,FINISHGOOD,FINISHGOOD,,,11100
1APD0273,Royal Fiery Chicken Biryani (Boneless),PORTION,FINISHGOOD,FINISHGOOD,,,11100
1APD0274,Chicken Fiery Kebab ,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1APD0277,Chicken Fiery Kebab ,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1APD0278,Gulab Jamun,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1APD0279,Double Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1APD0280,Khubani Ka Meetha,PORTION,FINISHGOOD,FINISHGOOD,,,16103
1APD0282,Chicken Fiery Kebab (Half),PORTION,FINISHGOOD,FINISHGOOD,,,12100
1APD0283,Special Nizami Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1APD0284,Special Royal Chicken Biryani ,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1APD0293,Dakshin-E-Khaas Nizami Biryani ,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1APD0294,Dakshin-E-Khaas Royal Biryani ,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1APD0295,Dakshin-E-Khaas Kebab ,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1APD0304,Peri Peri Nizami Chicken Biryani ,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1APD0305,Peri Peri Royal Chicken Biryani,PORTION,FINISHGOOD,FINISHGOOD,,,11100
1APD0306,Peri Peri Chicken Kebab ,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1APD0317,Aloo Curry ,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1APD0318,Egg Bhurji ,PORTION,FINISHGOOD,FINISHGOOD,,,13102
1APD0323,Tea-Elaichi,PORTION,FINISHGOOD,FINISHGOOD,,,18108
1APD0324,Tea-Masala,PORTION,FINISHGOOD,FINISHGOOD,,,18108
1APD0325,Coffee,PORTION,FINISHGOOD,FINISHGOOD,,,18108
1APD0326,Malabar Paratha - 2pcs,PORTION,FINISHGOOD,FINISHGOOD,,,13100
1APD0327,Lachha Paratha - 2Pcs,PORTION,FINISHGOOD,FINISHGOOD,,,13100
1APD0332,Mutton Haleem Family Pack,PORTION,FINISHGOOD,FINISHGOOD,,,31100
1APD0337,Chicken Tikka Roll ,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1APD0338,Paneer Tikka Roll ,PORTION,FINISHGOOD,FINISHGOOD,,,12103
1APD0339,Egg Roll,PORTION,FINISHGOOD,FINISHGOOD,,,12107
1APD0340,Green Pepper Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12100
1APD0341,Soya Tikka Kebab,PORTION,FINISHGOOD,FINISHGOOD,,,12103
1APD0368,Sweet Corn Vegetable Soup,PORTION,FINISHGOOD,FINISHGOOD,,,17103
1APD0369,Cream Of Tomato Soup,PORTION,FINISHGOOD,FINISHGOOD,,,17103
1APD0370,Vegetable Manchow Soup,PORTION,FINISHGOOD,FINISHGOOD,,,17103
1APD0371,Cream of Broccoli,PORTION,FINISHGOOD,FINISHGOOD,,,17103
1APD0372,Cream of Mushroom,PORTION,FINISHGOOD,FINISHGOOD,,,17103
1APD0373,Cream of Chicken Soup,PORTION,FINISHGOOD,FINISHGOOD,,,17103
1APD0374,Sweet Corn Chicken Soup,PORTION,FINISHGOOD,FINISHGOOD,,,17100
1APD0375,Dal Tadka,PORTION,FINISHGOOD,FINISHGOOD,,,13103
1APD0376,Papad Masala,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1APD0377,Papad Roasted,PORTION,FINISHGOOD,FINISHGOOD,,,20103
1APD0378,Veg Fried Rice,PORTION,FINISHGOOD,FINISHGOOD,,,14103
1APD0379,Chicken Fried Rice,PORTION,FINISHGOOD,FINISHGOOD,,,14100
1APD0401,Vegetable Hot & Sour Soup,PORTION,FINISHGOOD,FINISHGOOD,,,17103
1APD0402,Chicken Hot & Sour Soup,PORTION,FINISHGOOD,FINISHGOOD,,,17100
1APD0410,Vanilla I/C 4 Ltr,PORTION,FINISHGOOD,FINISHGOOD,,,16106
1APD0411,Chocolate I/C 4 Ltr,PORTION,FINISHGOOD,FINISHGOOD,,,16106
