Actual Item Code,Item Name,Corrected Name,Sub-Category,Category,Category for Incentive,Veg/Non veg,Chicken/Mutton,Value Offering Cat,Value Offering Sub-Cat,Innovation,Innovation Sub-cat,Unique,Combos to be excl for Item count report,ad
1VZT0170,Khubani Ka Meetha,Khubani Ka Meetha,DKM/KKM/GKH,Desserts,Desserts,Desserts,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0001,Chicken Biryani Piece,Chicken Biryani Piece,Other,Biryani,Biryani,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0002,Nizami Chicken Biryani,Nizami Chicken Biryani,Regular,Biryani,Biryani,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0003,Royal Chicken Biryani,Royal Chicken Biryani,Royal,Biryani,Biryani,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0190,Chicken 65 Biryani,Chicken 65 Biryani,Spl Biryani,Biryani,Biryani,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0191,Mutton Kheema Biryani,Mutton Kheema Biryani,Other,Biryani,Biryani,Non-Veg,Mutton,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0192,Fish Biryani,Fish Biryani,Regular,Biryani,Biryani,Non-Veg,Fish,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0193,Soya Kheema Biryani,Soya Kheema Biryani,Other,Biryani,Biryani,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0194,Chicken Kheema Biryani,Chicken Kheema Biryani,Other,Biryani,Biryani,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0012,Royal Mutton Biryani,Royal Mutton Biryani,Royal,Biryani,Biryani,Non-Veg,Mutton,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0121,Achari Chutney Murgh Kebab-Half,Aachari Chicken Kebab (Half),Kebabs,Kebabs,Excluded,Non-Veg,Chicken,NULL,NULL,Innovation,Jashn-e-Kebab 2023,NULL,NULL,NULL
1VZD0123,Chicken Garlic Kebab,Chicken Garlic Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0127,Chicken Kebab Platter,Chicken Kebab Platter,Platter,Kebabs,Kebabs,Non-Veg,Mix,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0131,Chicken Sheek Kebab,Chicken Sheek Kebab,Kebabs,Kebabs,Kebabs,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
